,on_street_name,total_injured,total_killed,accidents
312,19 Street,0.0,0.0,2
313,19-15 Seagirt Boulevard,2.0,0.0,1
314,19-36 38 Street,0.0,0.0,1
315,190 Street,0.0,0.0,1
316,190-02 117 Road,0.0,0.0,1
317,190-11 Hollis Avenue,0.0,0.0,1
318,190-24 110 Road,0.0,0.0,1
319,190-31 118 Avenue,2.0,0.0,1
320,191-20 Northern Boulevard,0.0,0.0,1
321,192-07 37 Avenue,0.0,0.0,1
322,192-08 105 Avenue,0.0,0.0,1
323,192-10C 64 Avenue,0.0,0.0,1
324,193 Street,0.0,0.0,2
325,194 Street,2.0,0.0,2
326,195 Street,0.0,0.0,1
327,196-01 Foothill Avenue,0.0,0.0,1
328,196-16 Pompeii Avenue,0.0,0.0,1
329,197 Street,2.0,0.0,2
330,197-11 Jamaica Avenue,0.0,0.0,1
331,198 Street,0.0,0.0,1
332,199 Street,0.0,0.0,1
333,2 Avenue,30.0,0.0,39
334,2 Street,0.0,0.0,1
335,20 Avenue,4.0,0.0,6
336,20 Street,0.0,0.0,1
337,20-30 Elk Drive,0.0,0.0,1
338,20-49 Seagirt Boulevard,2.0,0.0,1
339,20-64 47 Street,0.0,0.0,1
340,200 Street,0.0,0.0,1
341,201 Street,0.0,0.0,1
342,201-36 Epsom Course,0.0,0.0,1
343,202 Street,4.0,0.0,4
344,202-05 Jamaica Avenue,0.0,0.0,1
345,202-15 Northern Boulevard,0.0,0.0,1
346,203 Street,0.0,0.0,1
347,204 Street,0.0,0.0,2
348,204-14 Hollis Avenue,0.0,0.0,1
349,207 Street,0.0,0.0,1
350,209-10 Nashville Boulevard,0.0,0.0,1
351,21 Avenue,6.0,0.0,6
352,21 Street,2.0,0.0,7
353,21-15 21 Street,0.0,0.0,1
354,21-23 31 Avenue,0.0,0.0,1
355,21-69 Shore Boulevard,0.0,0.0,1
356,210-08 93 Avenue,0.0,0.0,1
357,211 Street,0.0,0.0,2
358,211-60 Hillside Avenue,0.0,0.0,1
359,211D West 151 Street,2.0,0.0,1
360,212 Street,0.0,0.0,5
361,212-19 Northern Boulevard,2.0,0.0,1
362,213-15 26 Avenue,2.0,0.0,1
363,214 Place,0.0,0.0,1
364,215-25 99 Avenue,2.0,0.0,1
365,215-52 Murdock Avenue,0.0,0.0,1
366,216-25 136 Avenue,0.0,0.0,1
367,217 Street,0.0,0.0,1
368,218 Place,2.0,0.0,1
369,218 Street,0.0,0.0,1
370,218-41 100 Avenue,0.0,0.0,1
371,219 Street,0.0,0.0,1
372,219-05 130 Avenue,0.0,0.0,1
373,219-20 Northern Boulevard,0.0,0.0,1
374,22 Street,2.0,0.0,3
375,22-18 Mott Avenue,0.0,0.0,1
376,22-25 28 Avenue,0.0,0.0,1
377,221 Street,0.0,0.0,1
378,222 Street,0.0,0.0,3
379,223 Street,4.0,0.0,3
380,223-04 139 Avenue,0.0,0.0,1
381,223-20 135 Avenue,0.0,0.0,1
382,225 Street,2.0,0.0,2
383,225-24 107 Avenue,2.0,0.0,1
384,226 Street,0.0,0.0,1
385,226-07 137 Avenue,0.0,0.0,1
386,227-15 130 Avenue,0.0,0.0,1
387,227A Scholes Street,2.0,0.0,1
388,228 Street,2.0,0.0,1
389,229 Street,0.0,0.0,1
390,229-11 144 Avenue,0.0,0.0,1
391,23 Avenue,4.0,0.0,5
392,23 Street,6.0,0.0,4
393,23-14 College Point Boulevard,0.0,0.0,1
394,23-17 123 Street,0.0,0.0,1
395,23-18 24 Avenue,0.0,0.0,1
396,23-30 31 Avenue,0.0,0.0,1
397,23-89 27 Street,0.0,0.0,1
398,230-19 Rockaway Boulevard,2.0,1.0,1
399,230-59 Rockaway Boulevard,0.0,0.0,1
400,231 Street,0.0,0.0,1
401,233 Street,0.0,0.0,1
402,234 Street,2.0,0.0,2
403,234-20 Linden Boulevard,0.0,0.0,1
404,235 Street,2.0,0.0,1
405,24 Avenue,0.0,0.0,2
406,24 Road,0.0,0.0,1
407,24 Street,2.0,0.0,3
408,24-11 21 Avenue,0.0,0.0,1
409,24-17 Cornaga Avenue,0.0,0.0,1
410,24-28 Humphreys Street,0.0,0.0,1
411,24-31 Steinway Street,2.0,0.0,1
412,24-53 23 Street,0.0,0.0,1
413,24-58 Gillmore Street,2.0,0.0,1
414,240-40 141 Avenue,2.0,0.0,1
415,241 Street,4.0,0.0,4
416,241-27 148 Road,0.0,0.0,1
417,242-24 Northern Boulevard,2.0,0.0,1
418,242-25 91 Avenue,0.0,0.0,1
419,243 Street,2.0,0.0,2
420,245-10 Grand Central Parkway,0.0,0.0,1
421,247 Street,0.0,0.0,1
422,247-12 South Conduit Avenue,0.0,0.0,1
423,248-10 Brookville Boulevard,0.0,0.0,1
424,248-25 Northern Boulevard,0.0,0.0,1
425,249-12 Hillside Avenue,0.0,0.0,1
426,25 Avenue,0.0,0.0,1
427,25 Road,0.0,0.0,1
428,25 Street,0.0,0.0,1
429,25-02 Camp Road,0.0,0.0,1
430,25-22 Steinway Street,0.0,0.0,1
431,25-40 72 Street,2.0,0.0,1
432,25-58 35 Street,0.0,0.0,1
433,25-68 23 Street,0.0,0.0,1
434,251 Street,0.0,0.0,1
435,252-20 82 Avenue,0.0,0.0,1
436,253 Street,4.0,0.0,2
437,254 Street,4.0,0.0,2
438,255-037 Jamaica Avenue,0.0,0.0,1
439,256 Street,0.0,0.0,1
440,257-19 149 Road,0.0,0.0,1
441,257-47 148 Drive,2.0,0.0,1
442,259 Street,0.0,0.0,2
443,26 Avenue,0.0,0.0,2
444,26 Street,0.0,0.0,1
445,26-27 College Point Boulevard,0.0,0.0,1
446,26-50 94 Street,0.0,0.0,1
447,26-58 Borough Place,0.0,0.0,1
448,260 Street,0.0,0.0,2
449,260-04 Hillside Avenue,0.0,0.0,1
450,260-08 74 Avenue,0.0,0.0,1
451,262 Street,0.0,0.0,1
452,262-21 Hungry Harbor Road,0.0,0.0,1
453,263-24 74 Avenue,0.0,0.0,1
454,27 Avenue,2.0,0.0,3
455,27 Street,4.0,0.0,5
456,27-04 12 Street,0.0,0.0,1
457,270-05 76 Avenue,0.0,0.0,1
458,271 Street,0.0,0.0,1
459,28 Avenue,8.0,0.0,7
460,28-25 Utopia Parkway,0.0,0.0,1
461,28-54 31 Street,0.0,0.0,1
462,29 Street,0.0,0.0,4
463,29-12 40 Avenue,0.0,0.0,1
464,29-24 21 Avenue,2.0,0.0,1
465,3 Avenue,60.0,0.0,70
466,3 Place,2.0,0.0,1
467,3 Street,0.0,0.0,3
468,30 Avenue,4.0,0.0,4
469,30 Drive,0.0,0.0,1
470,30 Place,0.0,0.0,1
471,30 Road,2.0,0.0,2
472,30 Street,2.0,0.0,2
473,30-35 77 Street,0.0,0.0,1
474,30-35 79 Street,0.0,0.0,1
475,30-38 90 Street,0.0,0.0,1
476,30-42 35 Street,0.0,0.0,1
477,30-58 34 Street,0.0,0.0,1
478,30-62 Steinway Street,2.0,0.0,1
479,30-94 Steinway Street,0.0,0.0,1
480,31 Avenue,2.0,0.0,4
481,31 Street,6.0,0.0,5
482,31-01 20 Avenue,0.0,0.0,1
483,31-05 49 Street,0.0,0.0,1
484,31-08 76 Street,0.0,0.0,1
485,31-22 College Point Boulevard,0.0,0.0,1
486,31-28 Ditmars Boulevard,0.0,0.0,1
487,31-50 Steinway Street,0.0,0.0,1
488,32 Avenue,2.0,0.0,2
489,32 Street,0.0,0.0,1
490,32-30 70 Street,0.0,0.0,1
491,32-34 Steinway Street,0.0,0.0,1
492,32-36 100 Street,0.0,0.0,1
493,3211A White Plains Road,0.0,0.0,1
494,33 Avenue,0.0,0.0,1
