zip_code,latitude,longitude,on_street_name,off_street_name,year,month,day,day_of_week,week,hour,minute,persons_killed,persons_injured,pedestrians_killed,pedestrians_injured,cyclist_killed,cyclist_injured,motorist_killed,motorist_injured,Bronx,Brooklyn,Manhattan,Queens,Staten Island,Accelerator Defective,Aggressive Driving/Road Rage,Alcohol Involvement,Animals Action,Backing Unsafely,Brakes Defective,Cell Phone (Hand-Held),Driver Inattention/Distraction,Driver Inexperience,Driverless/Runaway Vehicle,Drugs (Illegal),Failure To Keep Right,Failure To Yield Right-Of-Way,Fatigued/Drowsy,Fell Asleep,Following Too Closely,Glare,Headlights Defective,Illnes,Lane Marking Improper/Inadequate,Lost Consciousness,Obstruction/Debris,Other Electronic Device,Other Lighting Defects,Other Vehicular,Outside Car Distraction,Oversized Vehicle,Passenger Distraction,Passing Or Lane Usage Improper,Passing Too Closely,Pavement Defective,Pavement Slippery,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Physical Disability,Prescription Medication,Reaction To Uninvolved Vehicle,Shoulders Defective/Improper,Steering Failure,Tinted Windows,Tire Failure/Inadequate,Tow Hitch Defective,Traffic Control Device Improper/Non-Working,Traffic Control Disregarded,Turning Improperly,Unsafe Lane Changing,Unsafe Speed,Using On Board Navigation Device,Vehicle Vandalism,View Obstructed/Limited,Bike,Box Truck,Bus,E-Bike,E-Scooter,Motorcycle,Other,Pick-Up Truck,Sedan,Station Wagon/Sport Utility Vehicle,Taxi,Tractor Truck Diesel,Van
11417,40.680687,-73.84459,Cross Bay Boulevard,Rockaway Boulevard,2020,10,26,26,44,12,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10035,40.801872,-73.94136999999998,Park Avenue,East 120 Street,2020,11,8,8,45,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
11422,40.66563,-73.73921,Brookville Boulevard,Sunrise Highway,2020,11,27,27,48,8,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10457,40.843678,-73.89426,Cross Bronx Expy,Unknown,2020,10,13,13,42,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10454,40.80829,-73.90453000000002,Bruckner Expressway,Unknown,2020,10,12,12,42,0,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11217,40.686916,-73.97737,Saint Felix Street,Lafayette Avenue,2020,10,21,21,43,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11429,40.707306,-73.75121999999998,Francis Lewis Boulevard,Hollis Avenue,2020,11,10,10,46,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11206,40.70299,-73.93318000000002,Flushing Avenue,Unknown,2020,10,29,29,44,14,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11212,40.6544,-73.92044,Linden Boulevard,East 91 Street,2020,11,26,26,48,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10466,40.888668,-73.83849000000002,East 233 Street,Unknown,2020,11,8,8,45,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11378,40.725887,-73.89315,57-40 69 Lane,Unknown,2020,10,28,28,44,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11413,40.665474,-73.74750999999998,South Conduit Avenue,Unknown,2020,10,13,13,42,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10314,40.607185,-74.16239,Richmond Avenue,Victory Boulevard,2020,11,7,7,45,16,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11367,40.72681400000001,-73.83846,Grand Central Pkwy,Unknown,2020,10,30,30,44,21,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
